MLB,Arizona Diamondbacks,D-Backs,Phoenix,Arizona,Dbacks
MLB,Atlanta Braves,Braves,Atlanta,Georgia,Braves
MLB,Baltimore Orioles,Orioles,Baltimore,Maryland,Orioles
MLB,Boston Red Sox,Red Sox,Boston,Massachusetts,RedSox
MLB,Chicago Cubs,Cubs,Chicago,Illinois,Cubs
MLB,Chicago White Sox,White Sox,Chicago,Illinois,whitesox
MLB,Cincinnati Reds,Reds,Cincinnati,Ohio,Reds
MLB,Cleveland Indians,Indians,Cleveland,Ohio,Indians
MLB,Colorado Rockies,Rockies,Denver,Colorado,Rockies
MLB,Detroit Tigers,Tigers,Detroit,Michigan,tigers
MLB,Houston Astros,Astros,Houston,Texas,astros
MLB,Kansas City Royals,Royals,Kansas City,Missouri,Royals
MLB,Los Angeles Angels,Angels,Los Angeles,California,Angels
MLB,Los Angeles Dodgers,Dodgers,Los Angeles,California,Dodgers
MLB,Miami Marlins,Marlins,Miami,Florida,Marlins
MLB,Milwaukee Brewers,Brewers,Milwaukee,Wisconsin,Brewers
MLB,Minnesota Twins,Twins,Minneapolis,Minnesota,Twins
MLB,New York Mets,Mets,New York,New York,Mets
MLB,New York Yankees,Yankees,New York,New York,Yankees
MLB,Oakland Athletics,Athletics,Oakland,California,Athletics
MLB,Philadelphia Phillies,Phillies,Philadelphia,Pennsylvania,Phillies
MLB,Pittsburgh Pirates,Pirates,Pittsburgh,Pennsylvania,Pirates
MLB,San Diego Padres,Padres,San Diego,California,Padres
MLB,San Francisco Giants,Giants,San Francisco,California,SFGiants
MLB,Seattle Mariners,Mariners,Seattle,Washington,Mariners
MLB,St Louis Cardinals,Cardinals,St. Louis,Missouri,Cardinals
MLB,Tampa Bay Rays,Rays,Tampa Bay,Florida,RaysBaseball
MLB,Texas Rangers,Rangers,Arlington,Texas,Rangers
MLB,Toronto Blue Jays,Blue Jays,Toronto,Ontario,BlueJays
MLB,Washington Nationals,Nationals,Washington,D.C.,Nationals
NBA,Atlanta Hawks,Hawks,Atlanta,Georgia,ATLHawks
NBA,Boston Celtics,Celtics,Boston,Massachusetts,celtics
NBA,Brooklyn Nets,Nets,Brooklyn,New York,BrooklynNets
NBA,Charlotte Bobcats,Bobcats,Charlotte,North Carolina,bobcats
NBA,Chicago Bulls,Bulls,Chicago,Illinois,chicagobulls
NBA,Cleveland Cavaliers,Cavs,Cleveland,Ohio,cavs
NBA,Dallas Mavericks,Mavs,Dallas,Texas,dallasmavs
NBA,Denver Nuggets,Nuggets,Denver,Colorado,denvernuggets
NBA,Detroit Pistons,Pistons,Detroit,Michigan,DetroitPistons
NBA,Golden State Warriors,Warriors,Oakland,California,warriors
NBA,Houston Rockets,Rockets,Houston,Texas,HoustonRockets
NBA,Indiana Pacers,Pacers,Indianapolis,Indiana,Pacers
NBA,Los Angeles Clippers,Clippers,Los Angeles,California,LAClippers
NBA,Los Angeles Lakers,Lakers,Los Angeles,California,Lakers
NBA,Memphis Grizzlies,Grizzlies,Memphis,Tennessee,memgrizz
NBA,Miami Heat,Heat,Miami,Florida,MiamiHEAT
NBA,Milwaukee Bucks,Bucks,Milwaukee,Wisconsin,Bucks
NBA,Minnesota Timberwolves,Wolves,Minneapolis,Minnesota,MNTimberwolves
NBA,New Orleans Pelicans,Pelicans,New Orleans,Louisiana,PelicansNBA
NBA,New York Knicks,Knicks,New York,New York,nyknicks
NBA,Oklahoma City Thunder,Thunder,Oklahoma City,Oklahoma,okcthunder
NBA,Orlando Magic,Magic,Orlando,Florida,Orlando_Magic
NBA,Philadelphia 76ers,76ers,Philadelphia,Pennsylvania,Sixers
NBA,Phoenix Suns,Suns,Phoenix,Arizona,Suns
NBA,Portland Trail Blazers,Blazers,Portland,Oregon,trailblazers
NBA,Sacramento Kings,Kings,Sacramento,California,SacramentoKings
NBA,San Antonio Spurs,Spurs,San Antonio,Texas,spurs
NBA,Toronto Raptors,Raptors,Toronto,Ontario,Raptors
NBA,Utah Jazz,Jazz,Salt Lake City,Utah,utahjazz
NBA,Washington Wizards,Wizards,Washington,D.C.,WashWizards
NFL,Arizona Cardinals,Cardinals,Phoenix,Arizona,AZCardinals
NFL,Atlanta Falcons,Falcons,Atlanta,Georgia,Atlanta_Falcons
NFL,Baltimore Ravens,Ravens,Baltimore,Maryland,Ravens
NFL,Buffalo Bills,Bills,Buffalo,New York,buffalobills
NFL,Carolina Panthers,Panthers,Charlotte,North Carolina,Panthers
NFL,Chicago Bears,Bears,Chicago,Illinois,ChicagoBears
NFL,Cincinnati Bengals,Bengals,Cincinnati,Ohio,Bengals
NFL,Cleveland Browns,Browns,Cleveland,Ohio,Browns
NFL,Dallas Cowboys,Cowboys,Dallas,Texas,dallascowboys
NFL,Denver Broncos,Broncos,Denver,Colorado,Broncos
NFL,Detroit Lions,Lions,Detroit,Michigan,DetroitLionsNFL
NFL,Green Bay Packers,Packers,Green Bay,Wisconsin,packers
NFL,Houston Texans,Texans,Houston,Texas,HoustonTexans
NFL,Indianapolis Colts,Colts,Indianapolis,Indiana,Colts
NFL,Jacksonville Jaguars,Jaguars,Jacksonville,Florida,jaguars
NFL,Kansas City Chiefs,Chiefs,Kansas City,Missouri,KCChiefs
NFL,Miami Dolphins,Dolphins,Miami,Florida,MiamiDolphins
NFL,Minnesota Vikings,Vikings,Minneapolis,Minnesota,Vikings
NFL,New England Patriots,Patriots,Foxboro,Massachusetts,Patriots
NFL,New Orleans Saints,Saints,New Orleans,Louisiana,Saints
NFL,New York Giants,Giants,New York,New York,Giants
NFL,New York Jets,Jets,New York,New York,nyjets
NFL,Oakland Raiders,Raiders,Oakland,California,RAIDERS
NFL,Philadelphia Eagles,Eagles,Philadelphia,Pennsylvania,Eagles
NFL,Pittsburgh Steelers,Steelers,Pittsburgh,Pennsylvania,steelers
NFL,San Diego Chargers,Chargers,San Diego,California,chargers
NFL,San Francisco 49ers,49ers,San Francisco,California,49ers
NFL,Seattle Seahawks,Seahawks,Seattle,Washington,Seahawks
NFL,St. Louis Rams,Rams,St. Louis,Missouri,STLouisRams
NFL,Tampa Bay Buccaneers,Bucs,Tampa Bay,Florida,TBBuccaneers
NFL,Tennessee Titans,Titans,Nashville,Tennessee,TennesseeTitans
NFL,Washington Redskins,Redskins,Washington,D.C.,Redskins